TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0172A 200911,A0067885B3 171958 S0172A 200911,16.523,16.552,16.541,16.525,16.496,16.526,16.551,16.517,16.543,24.866,24.864,24.861,24.863,24.867,24.865,24.872,24.876,24.87,7,4.186
A0067885B3 171958 T0173A 200911,A0067885B3 171958 S0173A 200911,16.537,16.567,16.544,16.52,16.512,16.539,16.532,16.527,16.564,24.862,24.862,24.854,24.864,24.869,24.866,24.866,24.871,24.864,10,4.192
A0067885B3 171958 T0174A 200911,A0067885B3 171958 S0174A 200911,16.538,16.501,16.521,16.494,16.437,16.447,16.52,16.442,16.476,24.863,24.86,24.86,24.866,24.866,24.862,24.867,24.881,24.871,7,4.186
A0067885B3 171958 T0175A 200911,A0067885B3 171958 S0175A 200911,16.525,16.562,16.529,16.499,16.498,16.502,16.52,16.504,16.527,24.866,24.864,24.862,24.86,24.859,24.857,24.873,24.88,24.875,10,4.192
A0067885B3 171958 T0176A 200911,A0067885B3 171958 S0176A 200911,16.554,16.58,16.573,16.514,16.534,16.538,16.544,16.524,16.566,24.856,24.855,24.853,24.85,24.853,24.85,24.863,24.872,24.866,7,4.186
A0067885B3 171958 T0177A 200911,A0067885B3 171958 S0177A 200911,16.527,16.564,16.524,16.502,16.5,16.513,16.526,16.509,16.532,24.859,24.861,24.854,24.862,24.862,24.86,24.865,24.872,24.866,2,4.175
A0067885B3 171958 T0178A 200911,A0067885B3 171958 S0178A 200911,16.563,16.563,16.551,16.54,16.512,16.572,16.557,16.525,16.597,24.855,24.853,24.849,24.862,24.87,24.868,24.86,24.867,24.862,7,4.186
A0067885B3 171958 T0179A 200911,A0067885B3 171958 S0179A 200911,16.527,16.57,16.543,16.505,16.503,16.533,16.53,16.517,16.549,24.86,24.862,24.856,24.868,24.866,24.864,24.862,24.875,24.861,7,4.186
A0067885B3 171958 T0180A 200911,A0067885B3 171958 S0180A 200911,16.54,16.525,16.548,16.489,16.46,16.477,16.503,16.461,16.511,24.866,24.865,24.862,24.867,24.867,24.866,24.873,24.88,24.874,2,4.175
A0067885B3 171958 T0181A 200911,A0067885B3 171958 S0181A 200911,16.512,16.573,16.535,16.498,16.498,16.516,16.538,16.496,16.528,24.862,24.862,24.862,24.861,24.862,24.859,24.867,24.875,24.867,10,4.192
A0067885B3 171958 T0182A 200911,A0067885B3 171958 S0182A 200911,16.534,16.53,16.531,16.477,16.474,16.473,16.501,16.489,16.495,24.864,24.866,24.861,24.863,24.863,24.861,24.869,24.879,24.872,7,4.186
A0067885B3 171958 T0183A 200911,A0067885B3 171958 S0183A 200911,16.531,16.59,16.572,16.512,16.563,16.58,16.548,16.566,16.585,24.857,24.854,24.854,24.857,24.862,24.861,24.86,24.868,24.86,1,4.172
A0067885B3 171958 T0184A 200911,A0067885B3 171958 S0184A 200911,16.54,16.571,16.557,16.534,16.497,16.535,16.544,16.522,16.546,24.865,24.864,24.861,24.861,24.864,24.863,24.869,24.876,24.87,10,4.192
A0067885B3 171958 T0185A 200911,A0067885B3 171958 S0185A 200911,16.516,16.583,16.528,16.481,16.498,16.533,16.526,16.497,16.552,24.858,24.856,24.853,24.869,24.87,24.867,24.866,24.869,24.863,7,4.186
A0067885B3 171958 T0186A 200911,A0067885B3 171958 S0186A 200911,16.529,16.556,16.541,16.484,16.494,16.49,16.518,16.483,16.519,24.854,24.85,24.848,24.865,24.869,24.868,24.859,24.87,24.863,1,4.172
A0067885B3 171958 T0187A 200911,A0067885B3 171958 S0187A 200911,16.556,16.562,16.539,16.533,16.576,16.535,16.557,16.571,16.568,24.863,24.862,24.857,24.869,24.867,24.866,24.866,24.876,24.871,10,4.192
A0067885B3 171958 T0188A 200911,A0067885B3 171958 S0188A 200911,16.544,16.568,16.526,16.548,16.476,16.54,16.541,16.513,16.563,24.859,24.861,24.858,24.86,24.86,24.857,24.867,24.876,24.868,7,4.186
A0067885B3 171958 T0189A 200911,A0067885B3 171958 S0189A 200911,16.528,16.571,16.524,16.526,16.517,16.515,16.54,16.526,16.547,24.86,24.857,24.855,24.865,24.867,24.864,24.867,24.872,24.863,2,4.175
A0067885B3 171958 T0190A 200911,A0067885B3 171958 S0190A 200911,16.546,16.569,16.552,16.515,16.522,16.528,16.531,16.537,16.533,24.861,24.86,24.86,24.87,24.871,24.868,24.869,24.874,24.871,10,4.192
A0067885B3 171958 T0191A 200911,A0067885B3 171958 S0191A 200911,16.548,16.543,16.552,16.548,16.47,16.508,16.567,16.481,16.516,24.868,24.866,24.863,24.857,24.86,24.859,24.872,24.879,24.874,7,4.186
A0067885B3 171958 T0192A 200911,A0067885B3 171958 S0192A 200911,16.542,16.561,16.549,16.521,16.5,16.505,16.548,16.511,16.526,24.867,24.863,24.864,24.862,24.863,24.857,24.873,24.879,24.874,2,4.175
A0067885B3 171958 T0193A 200911,A0067885B3 171958 S0193A 200911,16.537,16.565,16.514,16.512,16.528,16.483,16.535,16.515,16.526,24.862,24.86,24.857,24.858,24.859,24.853,24.869,24.877,24.869,10,4.192
A0067885B3 171958 T0194A 200911,A0067885B3 171958 S0194A 200911,16.544,16.551,16.54,16.543,16.493,16.534,16.556,16.509,16.557,24.861,24.859,24.857,24.858,24.863,24.861,24.863,24.872,24.867,7,4.186
A0067885B3 171958 T0195A 200911,A0067885B3 171958 S0195A 200911,16.538,16.571,16.538,16.523,16.516,16.517,16.548,16.516,16.548,24.856,24.855,24.85,24.865,24.867,24.864,24.86,24.865,24.862,2,4.175
A0067885B3 171958 T0196A 200911,A0067885B3 171958 S0196A 200911,16.556,16.577,16.546,16.533,16.505,16.529,16.548,16.51,16.555,24.867,24.866,24.862,24.861,24.861,24.86,24.872,24.877,24.874,10,4.192
A0067885B3 171958 T0197A 200911,A0067885B3 171958 S0197A 200911,16.545,16.552,16.541,16.529,16.478,16.526,16.541,16.488,16.553,24.865,24.861,24.861,24.865,24.87,24.866,24.872,24.874,24.872,7,4.186
A0067885B3 171958 T0198A 200911,A0067885B3 171958 S0198A 200911,16.566,16.585,16.541,16.552,16.534,16.537,16.568,16.543,16.562,24.865,24.865,24.861,24.852,24.856,24.853,24.872,24.877,24.872,2,4.175
A0067885B3 171958 T0199A 200911,A0067885B3 171958 S0199A 200911,16.526,16.548,16.528,16.507,16.469,16.499,16.527,16.481,16.529,24.858,24.858,24.855,24.863,24.865,24.861,24.861,24.869,24.862,11,4.194
A0067885B3 171958 T0200A 200911,A0067885B3 171958 S0200A 200911,16.571,16.562,16.535,16.542,16.494,16.493,16.561,16.503,16.528,24.861,24.859,24.853,24.86,24.86,24.858,24.865,24.874,24.867,7,4.186
A0067885B3 171958 T0201A 200911,A0067885B3 171958 S0201A 200911,16.534,16.551,16.544,16.501,16.515,16.493,16.527,16.532,16.513,24.852,24.848,24.846,24.852,24.854,24.851,24.855,24.863,24.856,2,4.175
A0067885B3 171958 T0202A 200911,A0067885B3 171958 S0202A 200911,16.54,16.566,16.532,16.55,16.46,16.504,16.558,16.496,16.513,24.864,24.863,24.858,24.863,24.867,24.862,24.863,24.874,24.867,10,4.192
A0067885B3 171958 T0203A 200911,A0067885B3 171958 S0203A 200911,16.562,16.576,16.553,16.576,16.544,16.536,16.585,16.57,16.552,24.852,24.851,24.848,24.865,24.868,24.867,24.859,24.869,24.859,7,4.186
A0067885B3 171958 T0204A 200911,A0067885B3 171958 S0204A 200911,16.551,16.561,16.549,16.586,16.503,16.535,16.577,16.552,16.55,24.867,24.866,24.859,24.873,24.872,24.875,24.872,24.878,24.872,2,4.175
A0067885B3 171958 T0205A 200911,A0067885B3 171958 S0205A 200911,16.552,16.585,16.55,16.568,16.486,16.567,16.566,16.535,16.572,24.862,24.863,24.857,24.877,24.879,24.878,24.872,24.879,24.872,10,4.192
A0067885B3 171958 T0206A 200911,A0067885B3 171958 S0206A 200911,16.539,16.577,16.554,16.51,16.525,16.569,16.547,16.525,16.583,24.861,24.859,24.856,24.878,24.879,24.878,24.865,24.87,24.865,7,4.186
A0067885B3 171958 T0207A 200911,A0067885B3 171958 S0207A 200911,16.536,16.577,16.512,16.516,16.504,16.489,16.538,16.523,16.514,24.866,24.864,24.861,24.869,24.87,24.868,24.869,24.878,24.871,2,4.175
A0067885B3 171958 T0208A 200911,A0067885B3 171958 S0208A 200911,16.548,16.557,16.545,16.515,16.498,16.533,16.539,16.501,16.548,24.862,24.861,24.858,24.873,24.877,24.873,24.861,24.871,24.868,7,4.186
A0067885B3 171958 T0209A 200911,A0067885B3 171958 S0209A 200911,16.531,16.574,16.523,16.525,16.503,16.523,16.559,16.502,16.536,24.869,24.868,24.861,24.867,24.871,24.87,24.869,24.877,24.873,7,4.186
A0067885B3 171958 T0210A 200911,A0067885B3 171958 S0210A 200911,16.544,16.563,16.51,16.521,16.5,16.513,16.544,16.513,16.539,24.86,24.858,24.856,24.863,24.866,24.865,24.864,24.873,24.865,10,4.192
A0067885B3 171958 T0211A 200911,A0067885B3 171958 S0211A 200911,16.534,16.572,16.548,16.511,16.554,16.496,16.546,16.54,16.523,24.865,24.861,24.858,24.873,24.876,24.877,24.872,24.878,24.871,7,4.186
A0067885B3 171958 T0212A 200911,A0067885B3 171958 S0212A 200911,16.537,16.559,16.546,16.511,16.53,16.543,16.526,16.535,16.572,24.864,24.864,24.856,24.874,24.871,24.876,24.863,24.874,24.863,2,4.175
A0067885B3 171958 T0213A 200911,A0067885B3 171958 S0213A 200911,16.545,16.573,16.534,16.508,16.534,16.497,16.535,16.517,16.543,24.857,24.857,24.853,24.876,24.876,24.877,24.865,24.876,24.867,7,4.186
A0067885B3 171958 T0214A 200911,A0067885B3 171958 S0214A 200911,16.536,16.557,16.52,16.522,16.482,16.516,16.546,16.491,16.545,24.861,24.861,24.857,24.869,24.87,24.868,24.865,24.874,24.867,7,4.186
A0067885B3 171958 T0215A 200911,A0067885B3 171958 S0215A 200911,16.544,16.561,16.531,16.524,16.518,16.514,16.554,16.516,16.541,24.867,24.865,24.864,24.872,24.872,24.869,24.875,24.877,24.874,2,4.175
A0067885B3 171958 T0216A 200911,A0067885B3 171958 S0216A 200911,16.548,16.562,16.554,16.531,16.51,16.536,16.547,16.513,16.558,24.863,24.864,24.86,24.863,24.864,24.865,24.868,24.875,24.87,7,4.186
A0067885B3 171958 T0217A 200911,A0067885B3 171958 S0217A 200911,16.568,16.573,16.548,16.554,16.564,16.523,16.569,16.565,16.568,24.86,24.857,24.852,24.872,24.877,24.873,24.863,24.871,24.866,2,4.175
A0067885B3 171958 T0218A 200911,A0067885B3 171958 S0218A 200911,16.535,16.566,16.553,16.524,16.525,16.549,16.545,16.531,16.574,24.862,24.862,24.857,24.864,24.868,24.866,24.868,24.875,24.869,7,4.186
A0067885B3 171958 T0219A 200911,A0067885B3 171958 S0219A 200911,16.537,16.584,16.57,16.566,16.534,16.551,16.548,16.538,16.571,24.863,24.86,24.857,24.877,24.875,24.878,24.867,24.872,24.868,10,4.192
A0067885B3 171958 T0220A 200911,A0067885B3 171958 S0220A 200911,16.551,16.55,16.554,16.524,16.494,16.524,16.545,16.509,16.53,24.864,24.863,24.86,24.873,24.875,24.873,24.866,24.877,24.87,2,4.175
A0067885B3 171958 T0221A 200911,A0067885B3 171958 S0221A 200911,16.54,16.576,16.554,16.53,16.524,16.516,16.557,16.523,16.539,24.862,24.86,24.856,24.866,24.87,24.869,24.866,24.874,24.869,10,4.192
A0067885B3 171958 T0222A 200911,A0067885B3 171958 S0222A 200911,16.573,16.59,16.568,16.528,16.532,16.521,16.55,16.522,16.544,24.859,24.856,24.854,24.879,24.885,24.882,24.866,24.874,24.867,7,4.186
A0067885B3 171958 T0223A 200911,A0067885B3 171958 S0223A 200911,16.536,16.563,16.54,16.525,16.508,16.497,16.554,16.513,16.533,24.865,24.86,24.858,24.878,24.878,24.878,24.897,24.874,24.87,2,4.175
A0067885B3 171958 T0224A 200911,A0067885B3 171958 S0224A 200911,16.564,16.582,16.547,16.557,16.52,16.556,16.557,16.53,16.586,24.864,24.862,24.86,24.876,24.878,24.876,24.868,24.873,24.867,7,4.186
A0067885B3 171958 T0225A 200911,A0067885B3 171958 S0225A 200911,16.533,16.56,16.527,16.558,16.501,16.541,16.57,16.518,16.569,24.862,24.863,24.859,24.872,24.874,24.868,24.869,24.878,24.873,7,4.186
A0067885B3 171958 T0226A 200911,A0067885B3 171958 S0226A 200911,16.554,16.558,16.545,16.577,16.532,16.567,16.582,16.527,16.576,24.864,24.861,24.858,24.857,24.857,24.854,24.87,24.875,24.87,1,4.172
A0067885B3 171958 T0227A 200911,A0067885B3 171958 S0227A 200911,16.549,16.573,16.547,16.528,16.524,16.547,16.568,16.524,16.561,24.863,24.865,24.858,24.874,24.877,24.873,24.868,24.877,24.866,10,4.192
A0067885B3 171958 T0228A 200911,A0067885B3 171958 S0228A 200911,16.546,16.581,16.525,16.545,16.501,16.497,16.557,16.512,16.521,24.856,24.859,24.853,24.871,24.871,24.87,24.86,24.867,24.859,7,4.186
A0067885B3 171958 T0229A 200911,A0067885B3 171958 S0229A 200911,16.533,16.561,16.538,16.497,16.504,16.5,16.52,16.502,16.527,24.858,24.85,24.849,24.873,24.869,24.863,24.863,24.866,24.862,2,4.175
A0067885B3 171958 T0230A 200911,A0067885B3 171958 S0230A 200911,16.522,16.545,16.517,16.481,16.466,16.456,16.519,16.456,16.499,24.855,24.852,24.854,24.863,24.869,24.864,24.855,24.861,24.856,7,4.186
A0067885B3 171958 T0231A 200911,A0067885B3 171958 S0231A 200911,16.537,16.552,16.545,16.533,16.557,16.548,16.551,16.556,16.588,24.858,24.861,24.856,24.873,24.875,24.87,24.859,24.864,24.857,7,4.186
A0067885B3 171958 T0232A 200911,A0067885B3 171958 S0232A 200911,16.531,16.545,16.535,16.529,16.487,16.517,16.552,16.506,16.531,24.852,24.85,24.847,24.862,24.862,24.864,24.852,24.865,24.853,2,4.175
A0067885B3 171958 T0233A 200911,A0067885B3 171958 S0233A 200911,16.533,16.581,16.542,16.518,16.49,16.497,16.542,16.473,16.531,24.86,24.857,24.856,24.883,24.884,24.88,24.854,24.865,24.858,10,4.192
A0067885B3 171958 T0234A 200911,A0067885B3 171958 S0234A 200911,16.52,16.569,16.544,16.49,16.477,16.492,16.515,16.47,16.525,24.855,24.85,24.851,24.873,24.873,24.872,24.854,24.862,24.857,7,4.186
A0067885B3 171958 T0235A 200911,A0067885B3 171958 S0235A 200911,16.557,16.552,16.544,16.556,16.521,16.513,16.567,16.525,16.549,24.862,24.86,24.86,24.878,24.876,24.876,24.875,24.876,24.87,2,4.175
A0067885B3 171958 T0236A 200911,A0067885B3 171958 S0236A 200911,16.561,16.563,16.544,16.547,16.518,16.517,16.57,16.528,16.535,24.853,24.852,24.853,24.877,24.881,24.877,24.857,24.866,24.858,2,4.175
A0067885B3 171958 T0237A 200911,A0067885B3 171958 S0237A 200911,16.539,16.558,16.518,16.563,16.496,16.529,16.575,16.519,16.552,24.867,24.865,24.861,24.877,24.876,24.874,24.875,24.881,24.876,2,4.175
A0067885B3 171958 T0238A 200911,A0067885B3 171958 S0238A 200911,16.545,16.555,16.554,16.531,16.521,16.541,16.544,16.529,16.561,24.851,24.846,24.848,24.877,24.879,24.877,24.854,24.862,24.856,10,4.192
A0067885B3 171958 T0239A 200911,A0067885B3 171958 S0239A 200911,16.563,16.559,16.559,16.572,16.525,16.573,16.589,16.538,16.595,24.861,24.856,24.854,24.878,24.88,24.878,24.861,24.867,24.864,2,4.175
A0067885B3 171958 T0240A 200911,A0067885B3 171958 S0240A 200911,16.552,16.553,16.531,16.524,16.512,16.484,16.522,16.524,16.521,24.853,24.849,24.85,24.868,24.873,24.869,24.859,24.866,24.86,7,4.186
A0067885B3 171958 T0241A 200911,A0067885B3 171958 S0241A 200911,16.552,16.544,16.55,16.549,16.499,16.507,16.557,16.516,16.528,24.863,24.864,24.858,24.886,24.885,24.886,24.867,24.87,24.86,10,4.192
A0067885B3 171958 T0242A 200911,A0067885B3 171958 S0242A 200911,16.551,16.559,16.539,16.548,16.51,16.522,16.575,16.511,16.543,24.859,24.855,24.848,24.881,24.882,24.883,24.852,24.861,24.859,2,4.175
A0067885B3 171958 T0243A 200911,A0067885B3 171958 S0243A 200911,16.536,16.563,16.528,16.417,16.504,16.511,16.539,16.522,16.534,24.864,24.861,24.857,24.857,24.858,24.855,24.868,24.873,24.869,2,4.175
A0067885B3 171958 T0244A 200911,A0067885B3 171958 S0244A 200911,16.534,16.586,16.567,16.524,16.508,16.575,16.543,16.517,16.595,24.862,24.856,24.855,24.872,24.875,24.871,24.863,24.864,24.856,7,4.186
A0067885B3 171958 T0245A 200911,A0067885B3 171958 S0245A 200911,16.545,16.578,16.546,16.54,16.514,16.545,16.549,16.535,16.573,24.86,24.856,24.854,24.871,24.876,24.872,24.869,24.872,24.868,7,4.186
A0067885B3 171958 T0246A 200911,A0067885B3 171958 S0246A 200911,16.547,16.577,16.551,16.528,16.523,16.553,16.553,16.538,16.547,24.863,24.864,24.861,24.877,24.876,24.875,24.866,24.874,24.87,7,4.186
A0067885B3 171958 T0247A 200911,A0067885B3 171958 S0247A 200911,16.544,16.571,16.549,16.56,16.506,16.531,16.564,16.52,16.549,24.861,24.856,24.86,24.874,24.875,24.875,24.89,24.866,24.86,7,4.186
A0067885B3 171958 T0248A 200911,A0067885B3 171958 S0248A 200911,16.563,16.543,16.55,16.542,16.491,16.538,16.558,16.517,16.557,24.862,24.862,24.857,24.868,24.872,24.871,24.867,24.875,24.866,7,4.186
A0067885B3 171958 T0249A 200911,A0067885B3 171958 S0249A 200911,16.531,16.571,16.52,16.525,16.498,16.514,16.556,16.51,16.529,24.867,24.864,24.861,24.853,24.859,24.859,24.871,24.877,24.871,2,4.175
A0067885B3 171958 T0250A 200911,A0067885B3 171958 S0250A 200911,16.554,16.547,16.541,16.537,16.47,16.517,16.541,16.492,16.537,24.864,24.862,24.86,24.869,24.872,24.874,24.867,24.872,24.869,7,4.186
A0067885B3 171958 T0251A 200911,A0067885B3 171958 S0251A 200911,16.541,16.572,16.545,16.54,16.53,16.564,16.563,16.548,16.576,24.857,24.857,24.86,24.871,24.871,24.87,24.862,24.869,24.863,7,4.186
A0067885B3 171958 T0252A 200911,A0067885B3 171958 S0252A 200911,16.528,16.588,16.541,16.532,16.519,16.535,16.554,16.521,16.56,24.861,24.857,24.855,24.863,24.866,24.863,24.862,24.868,24.863,7,4.186
A0067885B3 171958 T0253A 200911,A0067885B3 171958 S0253A 200911,16.539,16.54,16.543,16.507,16.496,16.51,16.533,16.497,16.546,24.864,24.863,24.863,24.875,24.877,24.877,24.876,24.882,24.875,7,4.186
A0067885B3 171958 T0254A 200911,A0067885B3 171958 S0254A 200911,16.549,16.587,16.527,16.578,16.558,16.515,16.582,16.583,16.54,24.864,24.867,24.859,24.864,24.868,24.865,24.868,24.874,24.867,7,4.186
A0067885B3 171958 T0255A 200911,A0067885B3 171958 S0255A 200911,16.514,16.573,16.562,16.514,16.512,16.518,16.552,16.52,16.533,24.858,24.859,24.854,24.871,24.878,24.872,24.864,24.875,24.866,2,4.175
A0067885B3 171958 T0256A 200911,A0067885B3 171958 S0256A 200911,16.519,16.557,16.536,16.484,16.517,16.514,16.515,16.514,16.538,24.865,24.865,24.862,24.883,24.884,24.883,24.873,24.881,24.873,7,4.186
A0067885B3 171958 T0257A 200911,A0067885B3 171958 S0257A 200911,16.528,16.551,16.522,16.509,16.495,16.494,16.526,16.506,16.524,24.859,24.862,24.857,24.874,24.877,24.873,24.87,24.878,24.869,7,4.186
A0067885B3 171958 T0258A 200911,A0067885B3 171958 S0258A 200911,16.541,16.574,16.544,16.52,16.524,16.519,16.553,16.526,16.54,24.861,24.86,24.859,24.873,24.874,24.872,24.865,24.871,24.866,7,4.186
A0067885B3 171958 T0259A 200911,A0067885B3 171958 S0259A 200911,16.547,16.544,16.543,16.521,16.463,16.515,16.545,16.481,16.535,24.858,24.857,24.852,24.882,24.885,24.881,24.863,24.87,24.865,7,4.186
A0067885B3 171958 T0260A 200911,A0067885B3 171958 S0260A 200911,16.523,16.569,16.54,16.523,16.499,16.532,16.552,16.503,16.548,24.859,24.857,24.854,24.86,24.862,24.86,24.867,24.869,24.863,7,4.186
A0067885B3 171958 T0261A 200911,A0067885B3 171958 S0261A 200911,16.534,16.554,16.548,16.517,16.481,16.532,16.544,16.495,16.544,24.859,24.86,24.856,24.874,24.876,24.872,24.867,24.877,24.867,7,4.186
A0067885B3 171958 T0262A 200911,A0067885B3 171958 S0262A 200911,16.552,16.534,16.544,16.541,16.475,16.513,16.549,16.516,16.527,24.864,24.864,24.857,24.874,24.87,24.87,24.873,24.877,24.868,7,4.186
A0067885B3 171958 T0263A 200911,A0067885B3 171958 S0263A 200911,16.567,16.584,16.568,16.565,16.518,16.543,16.578,16.53,16.568,24.846,24.844,24.843,24.867,24.868,24.867,24.848,24.857,24.852,7,4.186
A0067885B3 171958 T0264A 200911,A0067885B3 171958 S0264A 200911,16.531,16.573,16.559,16.503,16.518,16.557,16.538,16.528,16.564,24.853,24.848,24.845,24.885,24.889,24.884,24.854,24.859,24.854,7,4.186
A0067885B3 171958 T0265A 200911,A0067885B3 171958 S0265A 200911,16.552,16.563,16.554,16.557,16.507,16.548,16.58,16.512,16.568,24.863,24.859,24.858,24.883,24.885,24.883,24.868,24.877,24.869,7,4.186
A0067885B3 171958 T0266A 200911,A0067885B3 171958 S0266A 200911,16.558,16.573,16.542,16.555,16.527,16.529,16.573,16.539,16.546,24.858,24.853,24.849,24.884,24.885,24.883,24.855,24.861,24.854,7,4.186
A0067885B3 171958 T0267A 200911,A0067885B3 171958 S0267A 200911,16.55,16.562,16.55,16.549,16.529,16.547,16.568,16.535,16.575,24.857,24.855,24.854,24.881,24.882,24.883,24.862,24.867,24.86,7,4.186
A0067885B3 171958 T0268A 200911,A0067885B3 171958 S0268A 200911,16.531,16.563,16.557,16.506,16.534,16.535,16.53,16.543,16.547,24.869,24.867,24.86,24.857,24.858,24.864,24.87,24.876,24.868,7,4.186
A0067885B3 171958 T0269A 200911,A0067885B3 171958 S0269A 200911,16.542,16.568,16.534,16.54,16.557,16.514,16.565,16.553,16.553,24.849,24.849,24.846,24.883,24.884,24.88,24.858,24.864,24.858,7,4.186
A0067885B3 171958 T0270A 200911,A0067885B3 171958 S0270A 200911,16.543,16.56,16.547,16.515,16.513,16.527,16.545,16.522,16.541,24.864,24.86,24.855,24.866,24.873,24.868,24.869,24.873,24.865,7,4.186
A0067885B3 171958 T0271A 200911,A0067885B3 171958 S0271A 200911,16.54,16.571,16.515,16.533,16.516,16.495,16.558,16.516,16.527,24.865,24.866,24.862,24.878,24.878,24.877,24.871,24.878,24.87,2,4.175
A0067885B3 171958 T0272A 200911,A0067885B3 171958 S0272A 200911,16.543,16.582,16.512,16.5,16.492,16.483,16.527,16.496,16.51,24.867,24.866,24.861,24.875,24.877,24.876,24.873,24.88,24.874,7,4.186
A0067885B3 171958 T0273A 200911,A0067885B3 171958 S0273A 200911,16.51,16.591,16.529,16.514,16.532,16.5,16.53,16.535,16.53,24.862,24.859,24.86,24.877,24.877,24.874,24.866,24.87,24.866,10,4.192
A0067885B3 171958 T0274A 200911,A0067885B3 171958 S0274A 200911,16.536,16.566,16.515,16.534,16.503,16.512,16.557,16.51,16.539,24.859,24.852,24.854,24.871,24.875,24.874,24.861,24.865,24.867,7,4.186
A0067885B3 171958 T0275A 200911,A0067885B3 171958 S0275A 200911,16.548,16.563,16.529,16.549,16.481,16.529,16.555,16.487,16.559,24.856,24.857,24.855,24.871,24.876,24.87,24.862,24.868,24.862,7,4.186
A0067885B3 171958 T0276A 200911,A0067885B3 171958 S0276A 200911,16.515,16.589,16.558,16.528,16.519,16.567,16.566,16.517,16.586,24.85,24.853,24.851,24.861,24.867,24.864,24.849,24.859,24.852,10,4.192
A0067885B3 171958 T0277A 200911,A0067885B3 171958 S0277A 200911,16.545,16.571,16.516,16.522,16.513,16.48,16.551,16.511,16.528,24.851,24.848,24.851,24.875,24.878,24.876,24.857,24.868,24.857,7,4.186
A0067885B3 171958 T0278A 200911,A0067885B3 171958 S0278A 200911,16.55,16.559,16.56,16.526,16.515,16.537,16.557,16.527,16.547,24.861,24.863,24.859,24.867,24.868,24.869,24.869,24.877,24.871,2,4.175
A0067885B3 171958 T0279A 200911,A0067885B3 171958 S0279A 200911,16.546,16.555,16.549,16.536,16.512,16.51,16.557,16.527,16.535,24.86,24.859,24.855,24.874,24.877,24.873,24.862,24.87,24.861,10,4.192
A0067885B3 171958 T0280A 200911,A0067885B3 171958 S0280A 200911,16.56,16.572,16.55,16.533,16.513,16.536,16.597,16.532,16.559,24.864,24.87,24.863,24.873,24.879,24.878,24.874,24.881,24.876,7,4.186
A0067885B3 171958 T0281A 200911,A0067885B3 171958 S0281A 200911,16.542,16.555,16.522,16.517,16.476,16.503,16.541,16.475,16.549,24.855,24.856,24.853,24.868,24.867,24.868,24.856,24.859,24.857,7,4.186
A0067885B3 171958 T0282A 200911,A0067885B3 171958 S0282A 200911,16.536,16.548,16.579,16.513,16.494,16.582,16.531,16.543,16.57,24.86,24.858,24.854,24.872,24.874,24.872,24.864,24.872,24.865,7,4.186
A0067885B3 171958 T0283A 200911,A0067885B3 171958 S0283A 200911,16.576,16.552,16.54,16.557,16.512,16.524,16.558,16.522,16.569,24.85,24.849,24.846,24.881,24.885,24.883,24.851,24.86,24.853,7,4.186
A0067885B3 171958 T0284A 200911,A0067885B3 171958 S0284A 200911,16.532,16.562,16.515,16.513,16.506,16.487,16.538,16.505,16.52,24.854,24.85,24.85,24.873,24.875,24.874,24.851,24.86,24.851,7,4.186
A0067885B3 171958 T0285A 200911,A0067885B3 171958 S0285A 200911,16.535,16.566,16.52,16.524,16.495,16.489,16.541,16.506,16.517,24.851,24.851,24.845,24.883,24.881,24.883,24.856,24.862,24.856,7,4.186
A0067885B3 171958 T0286A 200911,A0067885B3 171958 S0286A 200911,16.526,16.569,16.527,16.496,16.504,16.484,16.533,16.499,16.512,24.854,24.855,24.849,24.868,24.871,24.868,24.86,24.865,24.858,7,4.186
A0067885B3 171958 T0287A 200911,A0067885B3 171958 S0287A 200911,16.558,16.559,16.552,16.562,16.511,16.546,16.577,16.529,16.559,24.861,24.862,24.862,24.867,24.877,24.868,24.874,24.875,24.87,7,4.186
A0067885B3 171958 T0288A 200911,A0067885B3 171958 S0288A 200911,16.567,16.559,16.556,16.561,16.504,16.563,16.556,16.543,16.576,24.856,24.856,24.851,24.871,24.876,24.872,24.856,24.862,24.857,7,4.186
A0067885B3 171958 T0289A 200911,A0067885B3 171958 S0289A 200911,16.522,16.511,16.532,16.503,16.444,16.501,16.526,16.464,16.533,24.866,24.865,24.861,24.88,24.882,24.883,24.873,24.878,24.873,7,4.186
A0067885B3 171958 T0290A 200911,A0067885B3 171958 S0290A 200911,16.546,16.587,16.552,16.527,16.516,16.536,16.55,16.52,16.548,24.863,24.862,24.859,24.866,24.857,24.856,24.868,24.875,24.868,7,4.186
A0067885B3 171958 T0291A 200911,A0067885B3 171958 S0291A 200911,16.547,16.547,16.563,16.526,16.486,16.554,16.55,16.5,16.564,24.861,24.859,24.854,24.872,24.877,24.873,24.865,24.871,24.863,7,4.186
A0067885B3 171958 T0292A 200911,A0067885B3 171958 S0292A 200911,16.547,16.555,16.55,16.545,16.492,16.541,16.572,16.505,16.55,24.865,24.866,24.862,24.875,24.877,24.876,24.874,24.88,24.872,10,4.192
